Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
6.12433	36	0	0	19418	0	0	1	0	0	91744	49	2	0.602246	0.598311	0	0	0	0	0	0	0	0	0	0	0	0	251449938	
5.8614	37	0	0	19590	0	0	1	0	0	92600	48	3	0.614635	0.606827	0	0	0	0	0	0	0	0	0	0	0	0	1707515443	
6.1508	38	0	0	20672	0	0	1	0	0	97130	50	1	0.616644	0.596852	0	0	0	0	0	0	0	0	0	0	0	0	167977404	
0.279709	39	0	0	20821	0	0	1	0	0	97948	1	0	0.602944	0.602944	0	0	0	0	0	0	0	0	0	0	0	0	1988776702	
0.489302	39	0	0	20805	0	0	1	0	0	97834	1	1	0.596663	0.596663	0	0	0	0	0	0	0	0	0	0	0	0	1988776702	
6.24726	40	0	0	21011	0	0	1	0	0	98788	51	0	0.774582	0.697279	0	0	0	0	0	0	0	0	0	0	0	0	2011792801	
6.45395	40	0	0	20871	0	0	1	0	0	98136	48	3	0.598593	0.593669	0	0	0	0	0	0	0	0	0	0	0	0	2011792801	
6.38238	41	0	0	21074	0	0	1	0	0	99260	51	0	0.812359	0.633058	0	0	0	0	0	0	0	0	0	0	0	0	491624696	
6.43602	41	0	0	21005	0	0	1	0	0	98814	49	2	0.596693	0.592102	0	0	0	0	0	0	0	0	0	0	0	0	491624696	
6.30165	42	0	0	21210	0	0	1	0	0	99692	51	0	0.807586	0.694479	0	0	0	0	0	0	0	0	0	0	0	0	1735922398	
0.481704	42	0	0	21024	0	0	1	0	0	98760	1	1	0.59952	0.59952	0	0	0	0	0	0	0	0	0	0	0	0	1735922398	
6.34473	43	0	0	21312	0	0	1	0	0	100310	51	0	0.734116	0.681549	0	0	0	0	0	0	0	0	0	0	0	0	1162772251	
6.58818	43	0	0	21137	0	0	1	0	0	99382	49	2	0.589947	0.584239	0	0	0	0	0	0	0	0	0	0	0	0	1162772251	
6.45889	44	0	0	21414	0	0	1	0	0	100738	50	1	0.63945	0.618604	0	0	0	0	0	0	0	0	0	0	0	0	332492770	
6.59759	44	0	0	21331	0	0	1	0	0	100286	49	2	0.587713	0.584285	0	0	0	0	0	0	0	0	0	0	0	0	332492770	
6.56034	45	0	0	21869	0	0	1	0	0	102710	51	0	0.624297	0.588608	0	0	0	0	0	0	0	0	0	0	0	0	2119627969	
6.72655	46	0	0	22524	0	0	1	0	0	105464	51	0	0.666838	0.598097	0	0	0	0	0	0	0	0	0	0	0	0	2102469315	
6.92689	46	0	0	22473	0	0	1	0	0	105190	48	3	0.587066	0.58465	0	0	0	0	0	0	0	0	0	0	0	0	2102469315	
7.51716	47	0	0	24425	0	0	1	0	0	113966	51	0	0.67783	0.61722	0	0	0	0	0	0	0	0	0	0	0	0	1446198686	
7.72147	47	0	0	24338	0	0	1	0	0	113444	48	3	0.591914	0.576523	0	0	0	0	0	0	0	0	0	0	0	0	1446198686	
8.16619	51	0	0	26567	0	0	1	0	0	124302	51	0	0.946109	0.796415	0	0	0	0	0	0	0	0	0	0	0	0	536394572	1183258497	1256872597	1923562747	
8.29316	51	0	0	25951	0	0	1	0	0	121060	49	2	0.620188	0.600494	0	0	0	0	0	0	0	0	0	0	0	0	536394572	1183258497	1256872597	1923562747	
7.90875	51	0	0	25897	0	0	1	0	0	120796	49	2	0.592628	0.588276	0	0	0	0	0	0	0	0	0	0	0	0	536394572	1183258497	1256872597	1923562747	
8.12649	53	0	0	26998	0	0	1	0	0	126230	51	0	0.954894	0.733588	0	0	0	0	0	0	0	0	0	0	0	0	1139800839	1646429863	
8.10425	53	0	0	26543	0	0	1	0	0	123852	49	2	0.609602	0.593732	0	0	0	0	0	0	0	0	0	0	0	0	1139800839	1646429863	
0.903495	53	0	0	26512	0	0	1	0	0	123678	1	2	0.589382	0.589382	0	0	0	0	0	0	0	0	0	0	0	0	1139800839	1646429863	
8.22657	55	0	0	27326	0	0	1	0	0	127940	51	0	0.919268	0.742477	0	0	0	0	0	0	0	0	0	0	0	0	159883320	1475597139	
8.52737	55	0	0	26935	0	0	1	0	0	125854	47	4	0.600088	0.588624	0	0	0	0	0	0	0	0	0	0	0	0	159883320	1475597139	
8.36185	55	0	0	26912	0	0	1	0	0	125706	48	3	0.584923	0.582564	0	0	0	0	0	0	0	0	0	0	0	0	159883320	1475597139	
8.09469	56	0	0	26984	0	0	1	0	0	126080	50	1	0.605537	0.593195	0	0	0	0	0	0	0	0	0	0	0	0	306120494	
8.31002	56	0	0	26934	0	0	1	0	0	125804	48	3	0.580771	0.5782	0	0	0	0	0	0	0	0	0	0	0	0	306120494	
8.55373	57	0	0	27683	0	0	1	0	0	129506	51	0	0.658438	0.621784	0	0	0	0	0	0	0	0	0	0	0	0	2118799435	
8.47989	57	0	0	27506	0	0	1	0	0	128462	49	2	0.586392	0.579577	0	0	0	0	0	0	0	0	0	0	0	0	2118799435	
8.4789	58	0	0	28195	0	0	1	0	0	131602	51	0	0.725881	0.622167	0	0	0	0	0	0	0	0	0	0	0	0	1339724796	
